ngpus:n:density:time
1:4096:0.1:0.000061
1:4096:0.1:0.000240
1:4096:0.1:0.000060
1:4096:0.1:0.000059
1:4096:0.1:0.000060
1:4096:0.1:0.000058
1:4096:0.1:0.000059
1:4096:0.1:0.000063
1:4096:0.1:0.000061
1:4096:0.1:0.000062
1:4096:0.1:0.000060
1:8192:0.1:0.000115
1:8192:0.1:0.000058
1:8192:0.1:0.000117
1:8192:0.1:0.000117
1:8192:0.1:0.000060
1:8192:0.1:0.000115
1:8192:0.1:0.000060
1:8192:0.1:0.000116
1:8192:0.1:0.000058
1:8192:0.1:0.000061
1:8192:0.1:0.000058
1:16384:0.1:0.000239
1:16384:0.1:0.000236
1:16384:0.1:0.000240
1:16384:0.1:0.000239
1:16384:0.1:0.000240
1:16384:0.1:0.000238
1:16384:0.1:0.000238
1:16384:0.1:0.000239
1:16384:0.1:0.000228
1:16384:0.1:0.000239
1:16384:0.1:0.000238
1:32768:0.1:0.000755
1:32768:0.1:0.000754
1:32768:0.1:0.000757
1:32768:0.1:0.000756
1:32768:0.1:0.000757
1:32768:0.1:0.000756
1:32768:0.1:0.000756
1:32768:0.1:0.000759
1:32768:0.1:0.000832
1:32768:0.1:0.000757
1:32768:0.1:0.000757
1:65536:0.1:0.002794
1:65536:0.1:0.002792
1:65536:0.1:0.002754
1:65536:0.1:0.002794
1:65536:0.1:0.002795
1:65536:0.1:0.002790
1:65536:0.1:0.002756
1:65536:0.1:0.002795
1:65536:0.1:0.002794
1:65536:0.1:0.002754
1:65536:0.1:0.002796
1:131072:0.1:0.011631
1:131072:0.1:0.011633
1:131072:0.1:0.011634
1:131072:0.1:0.011509
1:131072:0.1:0.011635
1:131072:0.1:0.011631
1:131072:0.1:0.011562
1:131072:0.1:0.011391
1:131072:0.1:0.011429
1:131072:0.1:0.011391
1:131072:0.1:0.011513
1:196608:0.1:0.027856
1:196608:0.1:0.027495
1:196608:0.1:0.027256
1:196608:0.1:0.027239
1:196608:0.1:0.027241
1:196608:0.1:0.027375
1:196608:0.1:0.027259
1:196608:0.1:0.027264
1:196608:0.1:0.027286
1:196608:0.1:0.027363
1:196608:0.1:0.027343
4:4096:0.1:0.000073
4:4096:0.1:0.000075
4:4096:0.1:0.000076
4:4096:0.1:0.000076
4:4096:0.1:0.000079
4:4096:0.1:0.000078
4:4096:0.1:0.000075
4:4096:0.1:0.000077
4:4096:0.1:0.000079
4:4096:0.1:0.000081
4:4096:0.1:0.000079
4:8192:0.1:0.000072
4:8192:0.1:0.000075
4:8192:0.1:0.000073
4:8192:0.1:0.000080
4:8192:0.1:0.000077
4:8192:0.1:0.000077
4:8192:0.1:0.000077
4:8192:0.1:0.000076
4:8192:0.1:0.000078
4:8192:0.1:0.000077
4:8192:0.1:0.000078
4:16384:0.1:0.000126
4:16384:0.1:0.000124
4:16384:0.1:0.000134
4:16384:0.1:0.000130
4:16384:0.1:0.000130
4:16384:0.1:0.000135
4:16384:0.1:0.000130
4:16384:0.1:0.000129
4:16384:0.1:0.000138
4:16384:0.1:0.000136
4:16384:0.1:0.000136
4:32768:0.1:0.000248
4:32768:0.1:0.000249
4:32768:0.1:0.000250
4:32768:0.1:0.000254
4:32768:0.1:0.000254
4:32768:0.1:0.000254
4:32768:0.1:0.000253
4:32768:0.1:0.000252
4:32768:0.1:0.000254
4:32768:0.1:0.000253
4:32768:0.1:0.000254
4:65536:0.1:0.000767
4:65536:0.1:0.000767
4:65536:0.1:0.000768
4:65536:0.1:0.000767
4:65536:0.1:0.000773
4:65536:0.1:0.000773
4:65536:0.1:0.000770
4:65536:0.1:0.000772
4:65536:0.1:0.000772
4:65536:0.1:0.000770
4:65536:0.1:0.000772
4:131072:0.1:0.002924
4:131072:0.1:0.002927
4:131072:0.1:0.002927
4:131072:0.1:0.002929
4:131072:0.1:0.002883
4:131072:0.1:0.002914
4:131072:0.1:0.002929
4:131072:0.1:0.002928
4:131072:0.1:0.002928
4:131072:0.1:0.002926
4:196608:0.1:0.007119
4:196608:0.1:0.006998
4:196608:0.1:0.007004
4:196608:0.1:0.007000
4:196608:0.1:0.006909
4:196608:0.1:0.006914
4:196608:0.1:0.006940
4:196608:0.1:0.006874
4:196608:0.1:0.006924
4:196608:0.1:0.006984
4:196608:0.1:0.006934
4:196608:0.1:0.006936
4:196608:0.1:0.006991
4:196608:0.1:0.007006
4:196608:0.1:0.006898
