ngpus:n:time
1:8192:0.000171
1:8192:0.000174
1:8192:0.000173
1:8192:0.000171
1:8192:0.000171
1:8192:0.000174
1:8192:0.000171
1:8192:0.000152
1:8192:0.000171
1:8192:0.000173
1:8192:0.000171
1:16384:0.000172
1:16384:0.000174
1:16384:0.000171
1:16384:0.000172
1:16384:0.000171
1:16384:0.000182
1:16384:0.000172
1:16384:0.000173
1:16384:0.000173
1:16384:0.000175
1:16384:0.000171
1:32768:0.000174
1:32768:0.000177
1:32768:0.000172
1:32768:0.000174
1:32768:0.000173
1:32768:0.000176
1:32768:0.000152
1:32768:0.000173
1:32768:0.000173
1:32768:0.000175
1:32768:0.000234
1:65536:0.000299
1:65536:0.000242
1:65536:0.000237
1:65536:0.000237
1:65536:0.000238
1:65536:0.000240
1:65536:0.000237
1:65536:0.000237
1:65536:0.000238
1:65536:0.000309
1:65536:0.000237
1:131072:0.000307
1:131072:0.000312
1:131072:0.000307
1:131072:0.000308
1:131072:0.000307
1:131072:0.000310
1:131072:0.000307
1:131072:0.000393
1:131072:0.000309
1:131072:0.000309
1:131072:0.000307
1:262144:0.000393
1:262144:0.000395
1:262144:0.000391
1:262144:0.000392
1:262144:0.000392
1:262144:0.000396
1:262144:0.000392
1:262144:0.000392
1:262144:0.000481
1:262144:0.000395
1:262144:0.000392
1:524288:0.000630
1:524288:0.000635
1:524288:0.000630
1:524288:0.000631
1:524288:0.000630
1:524288:0.000633
1:524288:0.000631
1:524288:0.000630
1:524288:0.000630
1:524288:0.000633
1:524288:0.000629
1:1048576:0.001107
1:1048576:0.001342
1:1048576:0.001103
1:1048576:0.001104
1:1048576:0.001096
1:1048576:0.001119
1:1048576:0.001104
1:1048576:0.001103
1:1048576:0.001097
1:1048576:0.001107
1:1048576:0.001104
1:2097152:0.001935
1:2097152:0.002039
1:2097152:0.001936
1:2097152:0.001918
1:2097152:0.001936
1:2097152:0.001923
1:2097152:0.001935
1:2097152:0.002208
1:2097152:0.001935
1:2097152:0.001937
1:2097152:0.001936
1:4194304:0.003711
1:4194304:0.003833
1:4194304:0.003701
1:4194304:0.003714
1:4194304:0.003788
1:4194304:0.003713
1:4194304:0.003806
1:4194304:0.003893
1:4194304:0.003712
1:4194304:0.003962
1:4194304:0.003698
1:8388608:0.007308
1:8388608:0.007395
1:8388608:0.007386
1:8388608:0.007386
1:8388608:0.007387
1:8388608:0.007344
1:8388608:0.007386
1:8388608:0.007387
1:8388608:0.007386
1:8388608:0.007312
1:8388608:0.007268
1:16777216:0.014482
1:16777216:0.014566
1:16777216:0.014482
1:16777216:0.014446
1:16777216:0.014449
1:16777216:0.014865
1:16777216:0.014541
1:16777216:0.014566
1:16777216:0.014484
1:16777216:0.014566
1:16777216:0.014566
2:8192:0.000178
2:8192:0.000174
2:8192:0.000116
2:8192:0.000119
2:8192:0.000116
2:8192:0.000176
2:8192:0.000117
2:8192:0.000119
2:8192:0.000117
2:8192:0.000173
2:8192:0.000118
2:16384:0.000179
2:16384:0.000175
2:16384:0.000176
2:16384:0.000185
2:16384:0.000176
2:16384:0.000178
2:16384:0.000176
2:16384:0.000146
2:16384:0.000176
2:16384:0.000176
2:16384:0.000177
2:32768:0.000248
2:32768:0.000242
2:32768:0.000242
2:32768:0.000245
2:32768:0.000242
2:32768:0.000247
2:32768:0.000283
2:32768:0.000245
2:32768:0.000242
2:32768:0.000242
2:32768:0.000245
2:65536:0.000238
